Time,"T","Points:0","Points:1","Points:2"
0.0022,1532.6,-0.268,0,0
0.0022,1566.7,-0.256,0,0
0.0022,1602.2,-0.244,0,0
0.0022,1639.4,-0.232,0,0
0.0022,1678.4,-0.22,0,0
0.0022,1719.2,-0.208,0,0
0.0022,1761.9,-0.196,0,0
0.0022,1806.8,-0.184,0,0
0.0022,1854,-0.172,0,0
0.0022,1903.6,-0.16,0,0
0.0022,1955.9,-0.148,0,0
0.0022,2010.7,-0.136,0,0
0.0022,2068.3,-0.124,0,0
0.0022,2127.9,-0.112,0,0
0.0022,2188.5,-0.1,0,0
0.0022,2246.9,-0.088,0,0
0.0022,2297.5,-0.076,0,0
0.0022,2331.3,-0.064,0,0
0.0022,2336,-0.052,0,0
0.0022,2297.5,-0.04,0,0
0.0022,2202.8,-0.028,0,0
0.0022,2044.5,-0.016,0,0
0.0022,1824.7,-0.004,0,0
0.0022,1556.9,0.008,0,0
0.0022,1263.7,0.02,0,0
0.0022,972.14,0.032,0,0
0.0022,707.25,0.044,0,0
0.0022,486.56,0.056,0,0
0.0022,317.55,0.068,0,0
0.0022,198.41,0.08,0,0
0.0022,121.01,0.092,0,0
0.0022,74.618,0.104,0,0
0.0022,48.936,0.116,0,0
0.0022,35.786,0.128,0,0
0.0022,29.547,0.14,0,0
0.0022,26.798,0.152,0,0
0.0022,25.669,0.164,0,0
0.0022,25.235,0.176,0,0
0.0022,25.078,0.188,0,0
0.0022,25.024,0.2,0,0
0.0022,25.01,0.212,0,0
0.0022,25.003,0.224,0,0
0.0022,25.002,0.236,0,0
0.0022,25,0.248,0,0
0.0022,25,0.26,0,0
0.0022,25,0.272,0,0
0.0022,25,0.284,0,0
0.0022,25,0.296,0,0
0.0022,25,0.308,0,0
0.0022,25,0.32,0,0
0.0022,25,0.332,0,0
0.0022,25,0.344,0,0
0.0022,25,0.356,0,0
0.0022,25,0.368,0,0
0.0022,25,0.38,0,0
0.0022,25,0.392,0,0
0.0022,25,0.404,0,0
0.0022,25,0.416,0,0
0.0022,25,0.428,0,0
0.0022,25,0.44,0,0
0.0022,25,0.452,0,0
0.0022,25,0.464,0,0
0.0022,25,0.476,0,0
0.0022,25,0.488,0,0
0.0022,25,0.5,0,0
0.0022,25,0.512,0,0
0.0022,25,0.524,0,0
0.0022,25,0.536,0,0
0.0022,25,0.548,0,0
0.0022,25,0.56,0,0
0.0022,25,0.572,0,0
0.0022,25,0.584,0,0
0.0022,25,0.596,0,0
0.0022,25,0.608,0,0
0.0022,25,0.62,0,0
0.0022,25,0.632,0,0
0.0022,25,0.644,0,0
0.0022,25,0.656,0,0
0.0022,25,0.668,0,0
0.0022,25,0.68,0,0
0.0022,25,0.692,0,0
0.0022,25,0.704,0,0
0.0022,25,0.716,0,0
0.0022,25,0.728,0,0
0.0022,25,0.74,0,0
0.0022,25,0.752,0,0
0.0022,25,0.764,0,0
0.0022,25,0.776,0,0
0.0022,25,0.788,0,0
0.0022,25,0.8,0,0
