uh,uh_n,x
1563.9,25.0,0.43437
1568.2,25.0,0.4375
1572.5,25.0,0.44063
1576.9,25.0,0.44375
1581.3,25.0,0.44688
1585.8,25.0,0.45
1590.3,25.0,0.45312
1594.8,25.0,0.45625
1599.4,25.0,0.45937
1604.0,25.0,0.4625
1608.7,25.0,0.46562
1613.4,25.0,0.46875
1618.2,25.0,0.47188
1622.9,25.0,0.475
1627.8,25.0,0.47813
1632.6,25.0,0.48125
1637.6,25.0,0.48438
1642.5,25.0,0.4875
1647.5,25.0,0.49062
1652.6,25.0,0.49375
1657.7,25.0,0.49687
1662.9,25.0,0.5
1668.1,25.0,0.50313
1673.3,25.0,0.50625
1678.6,25.0,0.50937
1684.0,25.0,0.5125
1689.4,25.0,0.51562
1694.8,25.0,0.51875
1700.3,25.0,0.52188
1705.9,25.0,0.525
1711.5,25.0,0.52812
1717.2,25.0,0.53125
1723.0,25.0,0.53438
1728.8,25.0,0.5375
1734.6,25.0,0.54062
1740.5,25.0,0.54375
1746.5,25.0,0.54688
1752.5,25.0,0.55
1758.6,25.0,0.55313
1764.8,25.0,0.55625
1771.0,25.0,0.55937
1777.3,25.0,0.5625
1783.7,25.0,0.56563
1790.2,25.0,0.56875
1796.7,25.0,0.57187
1803.2,25.0,0.575
1809.9,25.0,0.57812
1816.6,25.0,0.58125
1823.4,25.0,0.58438
1830.3,25.0,0.5875
1837.3,25.0,0.59062
1844.3,25.0,0.59375
1851.5,25.0,0.59688
1858.7,25.0,0.6
1866.0,25.0,0.60312
1873.3,25.0,0.60625
1880.8,25.0,0.60938
1888.4,25.0,0.6125
1896.0,25.0,0.61563
1903.8,25.0,0.61875
1911.6,25.0,0.62187
1919.6,25.0,0.625
1927.6,25.0,0.62813
1935.8,25.0,0.63125
1944.0,25.0,0.63437
1952.4,25.0,0.6375
1960.9,25.0,0.64062
1969.4,25.0,0.64375
1978.1,25.0,0.64688
1986.9,25.0,0.65
1995.9,25.0,0.65312
2004.9,25.0,0.65625
2014.1,25.0,0.65938
2023.4,25.0,0.6625
2032.8,25.0,0.66562
2042.4,25.0,0.66875
