Time,"T","gammaNodes","material","Points:0","Points:1","Points:2"
10.05,579.64,0,0,-1.2,0,0.12499
10.05,580.63,0,0,-1.188,0,0.12499
10.05,581.61,0,0,-1.176,0,0.12499
10.05,582.61,0,0,-1.164,0,0.12499
10.05,583.6,0,0,-1.152,0,0.12499
10.05,584.59,0,0,-1.14,0,0.12499
10.05,585.58,0,0,-1.128,0,0.12499
10.05,586.58,0,0,-1.116,0,0.12499
10.05,587.57,0,0,-1.104,0,0.12499
10.05,588.56,0,0,-1.092,0,0.12499
10.05,589.54,0,0,-1.08,0,0.12499
10.05,590.52,0,0,-1.068,0,0.12499
10.05,591.49,0,0,-1.056,0,0.12499
10.05,592.45,0,0,-1.044,0,0.12499
10.05,593.39,0,0,-1.032,0,0.12499
10.05,594.32,0,0,-1.02,0,0.12499
10.05,595.22,0,0,-1.008,0,0.12499
10.05,596.09,0,0,-0.996,0,0.12499
10.05,596.93,0,0,-0.984,0,0.12499
10.05,597.73,0,0,-0.972,0,0.12499
10.05,598.47,0,0,-0.96,0,0.12499
10.05,599.19,0,0,-0.948,0,0.12499
10.05,599.83,0,0,-0.936,0,0.12499
10.05,600.45,0,0,-0.924,0,0.12499
10.05,601.02,0,0,-0.912,0,0.12499
10.05,601.59,0,0,-0.9,0,0.12499
10.05,602.28,0,0,-0.888,0,0.12499
10.05,602.96,0,0,-0.876,0,0.12499
10.05,603.8,0,0,-0.864,0,0.12499
10.05,604.65,0,0,-0.852,0,0.12499
10.05,605.59,0,0,-0.84,0,0.12499
10.05,606.55,0,0,-0.828,0,0.12499
10.05,607.55,0,0,-0.816,0,0.12499
10.05,608.57,0,0,-0.804,0,0.12499
10.05,609.61,0,0,-0.792,0,0.12499
10.05,610.66,0,0,-0.78,0,0.12499
10.05,611.72,0,0,-0.768,0,0.12499
10.05,612.79,0,0,-0.756,0,0.12499
10.05,613.87,0,0,-0.744,0,0.12499
10.05,614.95,0,0,-0.732,0,0.12499
10.05,616.04,0,0,-0.72,0,0.12499
10.05,617.14,0,0,-0.708,0,0.12499
10.05,618.24,0,0,-0.696,0,0.12499
10.05,619.35,0,0,-0.684,0,0.12499
10.05,620.46,0,0,-0.672,0,0.12499
10.05,621.57,0,0,-0.66,0,0.12499
10.05,622.69,0,0,-0.648,0,0.12499
10.05,623.81,0,0,-0.636,0,0.12499
10.05,624.94,0,0,-0.624,0,0.12499
10.05,626.07,0,0,-0.612,0,0.12499
10.05,627.2,0,0,-0.6,0,0.12499
10.05,628.34,0,0,-0.588,0,0.12499
10.05,629.48,0,0,-0.576,0,0.12499
10.05,630.62,0,0,-0.564,0,0.12499
10.05,631.77,0,0,-0.552,0,0.12499
10.05,632.93,0,0,-0.54,0,0.12499
10.05,634.08,0,0,-0.528,0,0.12499
10.05,635.24,0,0,-0.516,0,0.12499
10.05,636.41,0,0,-0.504,0,0.12499
10.05,637.58,0,0,-0.492,0,0.12499
10.05,638.75,0,0,-0.48,0,0.12499
10.05,639.92,0,0,-0.468,0,0.12499
10.05,641.1,0,0,-0.456,0,0.12499
10.05,642.29,0,0,-0.444,0,0.12499
10.05,643.48,0,0,-0.432,0,0.12499
10.05,644.67,0,0,-0.42,0,0.12499
10.05,645.86,0,0,-0.408,0,0.12499
10.05,647.06,0,0,-0.396,0,0.12499
10.05,648.27,0,0,-0.384,0,0.12499
10.05,649.47,0,0,-0.372,0,0.12499
10.05,650.69,0,0,-0.36,0,0.12499
10.05,651.9,0,0,-0.348,0,0.12499
10.05,653.12,0,0,-0.336,0,0.12499
10.05,654.34,0,0,-0.324,0,0.12499
10.05,655.57,0,0,-0.312,0,0.12499
10.05,656.8,0,0,-0.3,0,0.12499
10.05,658.04,0,0,-0.288,0,0.12499
10.05,659.28,0,0,-0.276,0,0.12499
10.05,660.53,0,0,-0.264,0,0.12499
10.05,661.78,0,0,-0.252,0,0.12499
10.05,663.03,0,0,-0.24,0,0.12499
10.05,664.29,0,0,-0.228,0,0.12499
10.05,665.55,0,0,-0.216,0,0.12499
10.05,666.81,0,0,-0.204,0,0.12499
10.05,668.08,0,0,-0.192,0,0.12499
10.05,669.36,0,0,-0.18,0,0.12499
10.05,670.64,0,0,-0.168,0,0.12499
10.05,671.92,0,0,-0.156,0,0.12499
10.05,673.2,0,0,-0.144,0,0.12499
10.05,674.5,0,0,-0.132,0,0.12499
10.05,675.79,0,0,-0.12,0,0.12499
10.05,677.09,0,0,-0.108,0,0.12499
10.05,678.39,0,0,-0.096,0,0.12499
10.05,679.7,0,0,-0.084,0,0.12499
10.05,681.02,0,0,-0.072,0,0.12499
10.05,682.33,0,0,-0.06,0,0.12499
10.05,683.65,0,0,-0.048,0,0.12499
10.05,684.98,0,0,-0.036,0,0.12499
10.05,686.31,0,0,-0.024,0,0.12499
10.05,687.65,0,0,-0.012,0,0.12499
10.05,688.99,0,0,0,0,0.12499
10.05,690.33,0,0,0.012,0,0.12499
10.05,691.68,0,0,0.024,0,0.12499
10.05,693.03,0,0,0.036,0,0.12499
