"uh","Points:0","Points:1","Points:2"
nan,-0.60938,0,0
1134.2,-0.60938,0,0
1135.3,-0.60625,4.4235e-17,0
1135.3,-0.60625,0,0
1136.3,-0.60312,0,0
1136.3,-0.60312,0,0
1137.1,-0.6,0,0
1137.1,-0.6,0,0
1137.7,-0.59688,4.5103e-17,0
1137.7,-0.59688,0,0
1138.1,-0.59375,0,0
1138.1,-0.59375,0,0
1138.3,-0.59062,0,0
nan,-0.59062,0,0
nan,-0.59375,0,0
1138.1,-0.59375,0,0
1138.3,-0.59062,4.4235e-17,0
1138.3,-0.59062,0,0
1138.2,-0.5875,0,0
1138.2,-0.5875,0,0
1138,-0.58438,0,0
1138,-0.58438,0,0
1137.5,-0.58125,0,0
1137.5,-0.58125,0,0
1136.7,-0.57812,0,0
1136.7,-0.57812,0,0
1135.7,-0.575,0,0
nan,-0.575,0,0
nan,-0.57812,0,0
1136.7,-0.57812,0,0
1135.7,-0.575,4.4235e-17,0
1135.7,-0.575,0,0
1134.4,-0.57187,0,0
1134.4,-0.57187,0,0
1132.9,-0.56875,4.5103e-17,0
1132.9,-0.56875,0,0
1131.2,-0.56563,4.5103e-17,0
1131.2,-0.56563,0,0
1129.2,-0.5625,0,0
1129.2,-0.5625,0,0
1127.2,-0.55937,4.4235e-17,0
nan,-0.55937,4.4235e-17,0
nan,-0.5625,0,0
1129.2,-0.5625,0,0
1127.2,-0.55937,0,0
1127.2,-0.55937,0,0
1125,-0.55625,0,0
1125,-0.55625,0,0
1122.9,-0.55313,4.5103e-17,0
1122.9,-0.55313,0,0
1120.9,-0.55,0,0
1120.9,-0.55,0,0
1119.3,-0.54688,0,0
1119.3,-0.54688,0,0
1118.2,-0.54375,0,0
nan,-0.54375,0,0
nan,-0.54688,0,0
1119.3,-0.54688,0,0
1118.2,-0.54375,4.4235e-17,0
1118.2,-0.54375,0,0
1117.6,-0.54062,0,0
1117.6,-0.54062,0,0
1117.5,-0.5375,4.5103e-17,0
1117.5,-0.5375,0,0
1117.9,-0.53438,0,0
1117.9,-0.53438,0,0
1118.9,-0.53125,0,0
1118.9,-0.53125,0,0
1120.3,-0.52812,0,0
nan,-0.52812,0,0
nan,-0.53125,0,0
1118.9,-0.53125,0,0
1120.3,-0.52812,4.4235e-17,0
1120.3,-0.52812,0,0
1122.1,-0.525,0,0
1122.1,-0.525,0,0
1124.3,-0.52188,0,0
1124.3,-0.52188,0,0
1126.9,-0.51875,1.7347e-19,0
1126.9,-0.51875,0,0
1129.6,-0.51562,0,0
1129.6,-0.51562,0,0
1132.6,-0.5125,0,0
nan,-0.5125,0,0
nan,-0.51562,0,0
1129.6,-0.51562,0,0
1132.6,-0.5125,4.4235e-17,0
1132.6,-0.5125,0,0
1135.8,-0.50937,0,0
1135.8,-0.50937,0,0
1139,-0.50625,4.5103e-17,0
1139,-0.50625,0,0
1142.3,-0.50313,4.5103e-17,0
1142.3,-0.50313,0,0
1145.7,-0.5,0,0
1145.7,-0.5,0,0
1149,-0.49687,0,0
nan,-0.49687,0,0
nan,-0.5,0,0
1145.7,-0.5,0,0
1149,-0.49687,4.4235e-17,0
1149,-0.49687,0,0
1152.3,-0.49375,4.4235e-17,0
1152.3,-0.49375,0,0
1155.6,-0.49062,4.4235e-17,0
1155.6,-0.49062,0,0
1158.9,-0.4875,4.4235e-17,0
1158.9,-0.4875,0,0
1162.1,-0.48438,0,0
1162.1,-0.48438,0,0
1165.2,-0.48125,4.4235e-17,0
1165.2,-0.48125,0,0
1168.2,-0.47813,0,0
1168.2,-0.47813,0,0
1171.2,-0.475,4.4235e-17,0
1171.2,-0.475,0,0
1174.1,-0.47188,4.4235e-17,0
1174.1,-0.47188,0,0
1176.9,-0.46875,0,0
1176.9,-0.46875,0,0
1179.6,-0.46562,4.4235e-17,0
1179.6,-0.46562,0,0
1182.3,-0.4625,4.5103e-17,0
1182.3,-0.4625,0,0
1185,-0.45937,4.4235e-17,0
1185,-0.45937,0,0
1187.5,-0.45625,0,0
1187.5,-0.45625,0,0
1190,-0.45312,0,0
1190,-0.45312,0,0
1192.5,-0.45,0,0
1192.5,-0.45,0,0
1194.9,-0.44688,0,0
1194.9,-0.44688,0,0
1197.3,-0.44375,0,0
1197.3,-0.44375,0,0
1199.7,-0.44063,4.4235e-17,0
1199.7,-0.44063,0,0
1202,-0.4375,0,0
1202,-0.4375,0,0
1204.3,-0.43437,4.4235e-17,0
1204.3,-0.43437,0,0
