"uh","Points:0","Points:1","Points:2"
1305.5,-0.30625,1.8939e-30,0
1308.2,-0.30312,0,0
1308.2,-0.30312,-7.8265e-32,0
1310.9,-0.3,0,0
nan,-0.3,0,0
nan,-0.30312,0,0
1308.2,-0.30312,0,0
1310.9,-0.3,0,0
1310.9,-0.3,0,0
1313.7,-0.29688,0,0
1313.7,-0.29688,1.8939e-30,0
1316.4,-0.29375,-8.6736e-20,0
1316.4,-0.29375,1.8939e-30,0
1319.2,-0.29063,0,0
1319.2,-0.29063,1.8939e-30,0
1322,-0.2875,0,0
nan,-0.2875,0,0
nan,-0.29063,0,0
1319.2,-0.29063,0,0
1322,-0.2875,0,0
1322,-0.2875,-7.8265e-32,0
1324.8,-0.28438,0,0
nan,-0.28438,0,0
nan,-0.2875,0,0
1322,-0.2875,0,0
1324.8,-0.28438,0,0
1324.8,-0.28438,1.8939e-30,0
1327.6,-0.28125,4.4235e-17,0
1327.6,-0.28125,1.8939e-30,0
1330.5,-0.27812,-8.6736e-20,0
1330.5,-0.27812,0,0
1333.4,-0.275,0,0
1333.4,-0.275,1.8939e-30,0
1336.2,-0.27187,0,0
nan,-0.27187,0,0
nan,-0.275,0,0
1333.4,-0.275,0,0
1336.2,-0.27187,0,0
1336.2,-0.27187,0,0
1339.2,-0.26875,1.7347e-19,0
1339.2,-0.26875,1.8939e-30,0
1342.1,-0.26562,4.4235e-17,0
1342.1,-0.26562,0,0
1345,-0.2625,4.4235e-17,0
1345,-0.2625,0,0
1348,-0.25938,4.4235e-17,0
1348,-0.25938,0,0
1351,-0.25625,0,0
nan,-0.25625,0,0
nan,-0.25938,0,0
1348,-0.25938,0,0
1351,-0.25625,4.4235e-17,0
1351,-0.25625,0,0
1354,-0.25313,0,0
1354,-0.25313,0,0
1357,-0.25,0,0
1357,-0.25,0,0
1360.1,-0.24688,4.4235e-17,0
1360.1,-0.24688,0,0
1363.1,-0.24375,4.4235e-17,0
1363.1,-0.24375,0,0
1366.2,-0.24062,0,0
1366.2,-0.24062,0,0
1369.3,-0.2375,4.4235e-17,0
1369.3,-0.2375,0,0
1372.4,-0.23438,0,0
1372.4,-0.23438,0,0
1375.6,-0.23125,0,0
1375.6,-0.23125,0,0
1378.7,-0.22813,4.4235e-17,0
1378.7,-0.22813,0,0
1381.9,-0.225,0,0
1381.9,-0.225,0,0
1385,-0.22187,4.4235e-17,0
1385,-0.22187,0,0
1388.2,-0.21875,0,0
1388.2,-0.21875,0,0
1391.4,-0.21563,4.4235e-17,0
1391.4,-0.21563,0,0
1394.6,-0.2125,4.4235e-17,0
1394.6,-0.2125,0,0
1397.7,-0.20937,0,0
1397.7,-0.20937,0,0
1400.9,-0.20625,4.4235e-17,0
1400.9,-0.20625,0,0
1404,-0.20312,4.4235e-17,0
1404,-0.20312,0,0
1407.1,-0.2,4.4235e-17,0
1407.1,-0.2,0,0
1410.2,-0.19688,4.4235e-17,0
1410.2,-0.19688,0,0
1413.2,-0.19375,4.4235e-17,0
1413.2,-0.19375,0,0
1416.1,-0.19062,4.4235e-17,0
1416.1,-0.19062,0,0
1419,-0.1875,0,0
1419,-0.1875,0,0
1421.7,-0.18438,4.4235e-17,0
1421.7,-0.18438,0,0
1424.4,-0.18125,4.4235e-17,0
1424.4,-0.18125,0,0
1426.8,-0.17812,0,0
1426.8,-0.17812,0,0
1429,-0.175,0,0
1429,-0.175,0,0
1431,-0.17188,0,0
1431,-0.17188,0,0
1432.6,-0.16875,4.4235e-17,0
1432.6,-0.16875,0,0
1433.8,-0.16563,0,0
1433.8,-0.16563,0,0
1434.6,-0.1625,0,0
1434.6,-0.1625,0,0
1434.7,-0.15937,4.4235e-17,0
1434.7,-0.15937,0,0
1434.1,-0.15625,0,0
1434.1,-0.15625,0,0
1432.6,-0.15313,0,0
1432.6,-0.15313,0,0
1430.1,-0.15,0,0
1430.1,-0.15,0,0
1426.9,-0.14687,4.4235e-17,0
1426.9,-0.14687,0,0
1423.4,-0.14375,0,0
1423.4,-0.14375,0,0
1419.9,-0.14062,4.4235e-17,0
1419.9,-0.14062,0,0
1416.7,-0.1375,4.4235e-17,0
1416.7,-0.1375,0,0
1413.9,-0.13438,4.4235e-17,0
1413.9,-0.13438,0,0
1411.5,-0.13125,0,0
1411.5,-0.13125,0,0
1409.6,-0.12812,4.4235e-17,0
1409.6,-0.12812,0,0
1408.1,-0.125,0,0
1408.1,-0.125,0,0
1407.2,-0.12188,0,0
1407.2,-0.12188,0,0
1406.8,-0.11875,4.4235e-17,0
1406.8,-0.11875,0,0
1406.8,-0.11563,0,0
1406.8,-0.11563,0,0
1407.3,-0.1125,0,0
1407.3,-0.1125,0,0
1408.1,-0.10938,4.4235e-17,0
1408.1,-0.10938,0,0
1409.3,-0.10625,0,0
1409.3,-0.10625,0,0
1410.8,-0.10312,0,0
1410.8,-0.10312,0,0
1412.6,-0.1,4.4235e-17,0
1412.6,-0.1,0,0
1414.6,-0.096875,4.4235e-17,0
1414.6,-0.096875,0,0
1416.8,-0.09375,0,0
1416.8,-0.09375,0,0
1419.2,-0.090625,0,0
1419.2,-0.090625,0,0
1421.8,-0.0875,1.7347e-19,0
